ean;descripcion;marca;n_sucursales;n_cadenas;precio_mediano;coicop_sugerido;rubro_sugerido;coicop_subclase
7790070433169;PAN RALLADO FORTIFIC;PREFERIDO;698;9;1990.0;01.1.1;Pan y cereales;01.1.1
7790070760623;VINO BLANCO DULC NAT;BENJAMIN NIETO;698;9;6300.0;02.1;Bebidas alcohólicas;02.1
7790387015317;YERBA MATE 4FLEX;MAÑAN;698;9;4789.0;01.2.1;Café, té, yerba y cacao;
7790520997623;AERO MATA MOSC Y MOS;RAID;698;9;6590.0;;;
7790580138738;POLENTA;PREST;698;9;1599.0;01.1.1;Pan y cereales;
7791130683753;LIMPIA LIQ PISO ORIG;PROCENEX;698;9;3245.99;;;
7791200000626;APERITIVO AMARGO;CYNAR;698;9;13335.0;02.1;Bebidas alcohólicas;
7791250001345;VODKA ROJO;SMIRNOFF;698;9;11689.0;02.1;Bebidas alcohólicas;
7791250002267;GIN;GORDO;698;9;18519.0;02.1;Bebidas alcohólicas;
7793890258264;RAPIDITAS CLASICAS;BIMBO;698;9;3919.0;;;
7793890258271;RAPIDITAS LIGHT;BIMBO;698;9;3919.0;;;
7794000005822;SOPA POLL C/FIDE CAB;KNORR;698;9;2745.0;;;01.1.9
7794000006911;SOPA ZAPALLO ROMERO;KNORR;698;9;3661.0;01.1.7;Verduras, tubérculos y legumbres;01.1.9
7891136057029;APERITIVO;APEROL;698;9;14199.0;02.1;Bebidas alcohólicas;
8445291121843;CACAO PVO SIN PREMIX;NESQUIK;698;9;2680.0;01.2.1;Café, té, yerba y cacao;
7622201703141;JUG PV NAR DU VIT CD;CLIGHT;697;9;529.0;;;
7622201735340;JUGO EN PVO NAR DULC;TANG;697;9;522.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7622201735906;PEPITOS REG Q 60X119;PEPITOS;697;9;2150.0;;;
7790040143524;GALLE CHOCO RELLE X3;RUMBA;697;9;4229.0;;;
7790070336149;FIDEOS MOSTACHOL;LUCCHETTI;697;9;1700.0;01.1.1;Pan y cereales;01.1.1
7790070507273;YERBA MATE SELECCION;NOBLEZA GAUCHA;697;9;2415.0;01.2.1;Café, té, yerba y cacao;
7790070562074;PREMEZCLA CHIPA;LUCCHETTI;697;9;5990.0;01.1.1;Pan y cereales;
7790070760579;VINO MALBEC;BENJA;697;9;5900.0;02.1;Bebidas alcohólicas;
7790170902008;CAFÉ CLASICO;MORENITA;697;9;13005.0;;;
7790240002010;VINO CABER-SAUVIGNON;FDCAV;697;9;10906.0;02.1;Bebidas alcohólicas;
7790310985458;PAPAS FRITAS CLASICA;LAYS;697;9;3849.0;;;
7790520025715;INSECTICIDA POLILLAS;RAID;697;9;7000.0;;;
7790520025722;INSECTI PULGA&LARVAS;RAID;697;9;16000.0;;;
7790520025753;MAX CEBOS;RAID;697;9;10261.0;;;
7790520028747;AEROSOL ORIGINAL;BLEM;697;9;6020.0;;;
7790580132163;MERMELADA DURAZNO;ARCOR;697;9;3070.0;01.1.6;Frutas;01.1.8
7790975198651;VINO ESPUM DELICE;CHANDON;697;9;18150.0;02.1;Bebidas alcohólicas;
7791130681391;LIMP.INOD.POWER PLUS;HARPIC;697;9;6234.99;;;
7793360131516;MERMELADA DURAZNO BC;LACAM;697;9;3855.0;01.1.6;Frutas;01.1.8
7794000006072;MAYONESA CLASICA;HELLMANNS;697;9;2999.0;;;01.1.9
8445290068682;ALIM P.GAT AD CAR.PO;CAT CHOW;697;9;8040.0;;;
7622201740399;GALL MINI PEPITOS;PEPITOS;696;9;1119.0;;;
7790045000624;CEREALES AZUCARADOS;SKARC;696;9;4430.0;01.1.1;Pan y cereales;01.1.1
7790070336026;FIDEO TIRABUZON;LUCCHETTI;696;9;1700.0;01.1.1;Pan y cereales;01.1.1
7790070336057;FIDEOS TIRABUZON VEG;LUCCHETTI;696;9;2188.0;01.1.1;Pan y cereales;01.1.1
7790070336576;FIDEOS TALLARIN;DON VICENTE;696;9;3540.0;01.1.1;Pan y cereales;01.1.1
7790070433176;PAN RALLADO FORT;PREFERIDO;696;9;3799.0;01.1.1;Pan y cereales;01.1.1
7790070562258;HARINA 000 C/VITAMIN;FAVORITA;696;9;1199.0;01.1.1;Pan y cereales;
7790150006351;CAFE MOLIDO TORRADO;LA VIRGINIA;696;9;13420.0;01.2.1;Café, té, yerba y cacao;
7790272001029;ACEITE DE GIRASOL;NATURA;696;9;6975.0;01.1.5;Aceites, grasas y manteca;01.1.5
7790290101602;APERITIVO FERNET;BRANCA;696;9;18400.0;02.1;Bebidas alcohólicas;02.1
7790310985465;PAPAS FRITAS CLASICA;LAYS;696;9;5400.0;;;
7790310985656;SNACK QUESO;DORITOS;696;9;5402.5;01.1.4;Leche, productos lácteos y huevos;
7790387013610;YERBA MATE 4FLEX;TARAGUI;696;9;5370.0;01.2.1;Café, té, yerba y cacao;
7790520995377;TABLETA DOBLE ACCION;RAID;696;9;3881.0;;;
7790742067005;DULCE D LECHE REPOST;LA SERENISIMA;696;9;4175.0;01.1.4;Leche, productos lácteos y huevos;01.1.4
7790742625304;DULCE DE LECHE CLASI;LA SERENISIMA;696;9;3860.0;01.1.4;Leche, productos lácteos y huevos;01.1.4
